0.003302, None,Kepler-793 b,,0.122
0.003491, None,Kepler-1555 b,,0.144
0.00431, None,Kepler-419 b,,
0.00547, None,epsilon Ret b,,
0.00516, None,GJ 674 b,,
0.00522,0.101,Kepler-511 b,,0.567
0.00831, None,Kepler-1361 b,,0.077
0.21414,0.866,HD 7924 c,,
0.30425,1.07,Kepler-57 c,,0.138158
0.0079, None,WASP-157 b,,1.06519
0.00658,0.106,HD 168443 c,,
0.02328, None,K2-35 b,,0.127325
0.07142,0.233,Kepler-172 c,,0.255152
0.01164,0.08,Kepler-1350 b,,0.225
0.03209, None,WASP-70 A b,,1.164
0.02042, None,Kepler-933 b,,0.219
0.02014, None,Kepler-1406 b,,0.098
0.02379, None,Kepler-1530 b,,0.146
0.05097, None,Kepler-400 c,,0.132929
0.02667, None,Kepler-220 e,,0.118655
0.02287, None,Kepler-1111 b,,0.178
0.01259, None,WASP-57 b,,0.916
0.0409, None,Kepler-177 b,,
0.00909, None,HAT-P-37 b,,1.178
0.00371, None,Kepler-198 c,,0.220359
0.0258, None,Kepler-1166 b,,0.151
0.0132, None,Kepler-458 c,,0.375
0.0056, None,Kepler-1605 b,,0.096
0.033, None,K2-60 b,,0.704893
1.75282, None,Kepler-1222 b,,0.07
1.64396, None,Kepler-1635 b,,0.325
0.00636, None,Kepler-65 b,,0.129361
0.00727, None,Kepler-615 b,,0.155
0.03231, None,Kepler-249 b,,0.0972433
0.00585,0.113,WASP-106 b,,1.085
0.02331, None,HD 81040 b,,
0.463, None,HD 208527 b,,
0.00579,0.109,Kepler-165 b,,0.206977
0.0107, None,Kepler-28 b,,0.320884
0.01919, None,Kepler-118 c,,0.685164
